No.	View	Mdpt. X (vox)	Mdpt. Y (vox)	Mdpt. Z (vox)	Mean PSF Radius (vox)	St. Dev. (vox)	Incident Angle (deg)	Radial Distance (vox)	Tangent Angle (deg)
57	Ortho Z	381.57	15.90	1311.00	3.16	0.32	6.38	385.06	3.83
58	Ortho Z	583.51	69.02	1311.00	3.68	1.31	9.27	381.60	0.41
59	Ortho Z	728.43	223.52	1311.00	3.71	0.18	24.36	378.24	4.28
60	Ortho Z	405.61	14.84	1596.00	3.90	0.13	4.25	386.33	0.64
61	Ortho Z	271.56	749.61	1596.00	4.02	0.48	9.20	369.51	4.17
62	Ortho Z	355.45	765.63	1596.00	3.13	0.18	7.45	366.88	3.62
63	Ortho Z	184.65	706.65	1596.00	3.72	0.98	11.14	370.70	3.10
64	Ortho Z	165.35	87.83	1596.00	3.98	0.69	7.42	387.99	1.81
65	Ortho Z	307.33	23.29	1596.00	3.66	0.53	6.86	387.66	4.87
66	Ortho Z	458.73	21.29	1596.00	3.49	0.38	10.28	385.29	0.26
67	Ortho Z	253.72	743.00	1738.00	3.20	0.27	12.25	369.68	5.10
68	Ortho Z	406.55	765.62	1738.00	3.33	0.19	7.32	364.95	0.02
69	Ortho Z	554.11	731.93	1738.00	2.75	0.76	8.85	367.30	2.55
70	Ortho Z	628.32	685.88	1738.00	3.52	0.91	11.65	368.48	1.97
71	Ortho Z	477.83	25.13	1738.00	4.15	0.42	4.81	385.07	4.43
72	Ortho Z	209.79	57.58	1738.00	3.52	0.51	1.44	389.96	1.71
73	Ortho Z	161.72	692.10	1738.00	2.14	0.62	6.94	372.61	0.02
74	Ortho Z	161.96	691.80	1810.00	2.84	0.47	5.86	372.42	-NaN
75	Ortho Z	291.71	754.63	1810.00	3.11	0.32	3.97	368.29	0.49
76	Ortho Z	406.54	765.09	1810.00	3.14	0.27	3.48	364.24	0.02
77	Ortho Z	553.98	731.62	1810.00	3.04	0.56	10.19	367.25	2.55
78	Ortho Z	628.16	685.67	1810.00	3.46	0.82	3.26	368.35	1.97
79	Ortho Z	550.55	733.25	1810.00	2.64	0.65	16.57	367.19	5.80
80	Ortho Z	738.77	541.44	1810.00	3.65	0.58	18.64	371.79	8.16
81	Ortho Z	751.50	505.75	1810.00	3.11	0.74	11.58	371.80	3.55
82	Ortho Z	755.61	286.80	1810.00	3.35	0.17	16.13	378.88	7.24

